LOTID5	WAFER_ID	PROCESS_ID_LX562150_PROCESS_ID_MAX	PROCESS_ID_ZA522600_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	ET_TIME_ZA522600_TKOUT_TIME_MAX	ET_D120_M1_1b_lat_100BCR_VALUE_MEDIAN	ET_D120_M1_1b_lat_100IRD_L_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_D120_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_EGN_2/0.15_Vtsat_VALUE_MEDIAN	ET_EGN_2/2_Vtlin_VALUE_MEDIAN	ET_EGN_Tox_inv_VALUE_MEDIAN	ET_EGP_2/0.45_Vtsat_VALUE_MEDIAN	ET_EGP_2/2_Vtlin_VALUE_MEDIAN	ET_EGP_Tox_inv_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PD_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PG_Vtsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Idsat_VALUE_MEDIAN	ET_HL152_M1_4b_ult_PU_Vtsat_VALUE_MEDIAN	ET_HVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_HVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_LVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_LVT_Vt_np_ratio_VALUE_MEDIAN	ET_LVT_Vt_sum_VALUE_MEDIAN	ET_Leff_N_VALUE_MEDIAN	ET_Leff_P_VALUE_MEDIAN	ET_Lpoly_RVTN_VALUE_MEDIAN	ET_Lpoly_RVTP_VALUE_MEDIAN	ET_NW_Res_10x30_VALUE_MEDIAN	ET_OP_NRX_Res_10X30_VALUE_MEDIAN	ET_OP_PPC_Res_10X30_VALUE_MEDIAN	ET_RVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_RVTN_1/1_Vtlin_VALUE_MEDIAN	ET_RVTN_Cov_VALUE_MEDIAN	ET_RVTN_Covdd_VALUE_MEDIAN	ET_RVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_RVTP_1/1_Vtlin_VALUE_MEDIAN	ET_RVTP_Cov_VALUE_MEDIAN	ET_RVTP_Covdd_VALUE_MEDIAN	ET_RVT_Vt_Sum_VALUE_MEDIAN	ET_RVT_vt_NP_ratio_VALUE_MEDIAN	ET_SGN_Tox_inv_VALUE_MEDIAN	ET_SGP_Tox_inv_VALUE_MEDIAN	ET_SLVTN_0.21/0.03x7_Vtsat_VALUE_MEDIAN	ET_SLVTN_1/1_Vtlin_VALUE_MEDIAN	ET_SLVTP_0.3/0.03x5_Vtsat_VALUE_MEDIAN	ET_SLVTP_1/1_Vtlin_VALUE_MEDIAN	ET_VPNP_Beta_VALUE_MEDIAN
S60UP	13	UXU3		26/06/2017 18:42										0.517	0.553	36.834	0.485	0.555	41.005							0.49	0.38					24.351	18.5																13.458	16.263					
S60UP	20	UXU3		26/06/2017 18:49										0.516	0.559	36.871		0.552	41.308							0.503	0.39																						13.483	16.448					
S60UP	25	UXU3		26/06/2017 19:15										0.51	0.547	36.326		0.545	40.667							0.493	0.372																						13.541	16.467					
S60W9	3	UXU3		13/07/2017 00:44										0.531		36.079			40.603							0.51	0.424																						13.388	16.216					
S60W9	4	UXU3		13/07/2017 00:49										0.531		36.062			40.261							0.516	0.405																						13.448	16.19					
S60W9	9	UXU3		13/07/2017 00:55										0.535		36.042			40.305							0.506	0.414																						13.358	16.154					
S60W9	10	UXU3		13/07/2017 01:00										0.536		36.408			40.585							0.505	0.399																						13.364	16.159					
S60W9	11	UXU3		13/07/2017 01:05										0.527		35.85			40.354							0.505	0.42																						13.402	16.374					
S60W9	12	UXU3		13/07/2017 01:11										0.53		36.034			40.365							0.491	0.418																						13.363	16.168					
S60W9	13	UXU3		13/07/2017 02:33										0.53	0.562	36.052	0.469	0.541	40.458							0.503	0.385					24.041	18.219																13.394	16.172					
S60W9	18	UXU3		13/07/2017 03:02										0.5365	0.561	35.869		0.536	40.3625							0.5	0.402																						13.4055	16.1885					
S60W9	19	UXU3		13/07/2017 03:07										0.531		36.12			40.296							0.499	0.415																						13.365	16.176					
S60W9	20	UXU3		13/07/2017 03:12										0.531		36.173			40.462							0.506	0.41																						13.4	16.325					
S60W9	21	UXU3		13/07/2017 03:18										0.538		36.484			41.049							0.499	0.406																						13.391	16.158					
S60WG	5	UXU3		05/07/2017 03:56										0.516	0.55	36.115		0.541	40.129							0.501	0.385																						13.366	16.189					
S60WG	13	UXU3		05/07/2017 05:20										0.511	0.545	36.15	0.476	0.546	40.59							0.5	0.4					24.609	18.88																13.354	16.199					
S60XT	2		UXSN		17/07/2017 02:58	229.173	16.338	33.805	0.525	29.32	0.528	11.421	0.42	0.52	0.569	36.135		0.515	37.639							0.53	0.394	0.355	0.202			23.749	17.159	34.149	37.632				0.43	0.432	0.231	1.071	0.306	0.51	0.319	1.007			13.466	16.042					
S60XT	3		UXSN		17/07/2017 03:05	223.935	15.302	32.82	0.529	28.58	0.526	10.648	0.428	0.503	0.564	35.278		0.509	36.837							0.536	0.406	0.367	0.224			24.702	17.593	34.995	38.452				0.443	0.432	0.23	1.099	0.323	0.508	0.324	1.028			13.412	15.983					
S60XT	7		UXSN		17/07/2017 03:13	208.483	16.928	33.02	0.534	29.395	0.525	11.824	0.408	0.518	0.571	36.238		0.516	37.747							0.529	0.394	0.359	0.197			24.017	17.12	34.563	37.894				0.43	0.429	0.232	1.083	0.321	0.512	0.323	1.014			13.445	16.021					
S60XT	8		UXSN		17/07/2017 03:21	214.92	16.078	31.855	0.538	29.87	0.522	10.54	0.414	0.501	0.559	35.089		0.503	36.677							0.544	0.41	0.359	0.201			24.304	16.96	34.735	38.153				0.429	0.432	0.23	1.089	0.318	0.515	0.327	1.02			13.421	16.002					
