LOTID5	WAFER_ID	PROCESS_ID_LE522600_PROCESS_ID_MAX	ET_TIME_LE522600_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	NW_Res_10x30	RVTN_0.21/0.03x7_Vtsat	RVTN_1/1_Vtlin	RVTN_Cov	RVTN_Covdd	RVTP_0.3/0.03x5_Vtsat	RVTP_1/1_Vtlin	RVTP_Cov	RVTP_Covdd	RVT_Vt_Sum	SGN_Tox_inv	SGP_Tox_inv	VPNP_Beta	date	month	date_lot
S64GB	19	UXTD	27/06/2017 18:52			478.921	484.709	8.812	453.1	0.514	0.587	0.209	0.254	0.531	0.557	0.356	0.227	32.701	35.838		0.424	0.415	0.22	1.036	0.336	0.522	0.306	0.968		13.463	16.064		27	6	6/27_S64GB
S64GB	21	UXTD	27/06/2017 19:09			478.809	468.623	9.263	438.715	0.509	0.579	0.21	0.262	0.542	0.55	0.355	0.226	32.526	35.72		0.425	0.414	0.218	1.031	0.336	0.532	0.303	0.96		13.45	16.134		27	6	6/27_S64GB
S64GB	25	UXTD	27/06/2017 19:19	179.978	19.13			8.959	448.082				0.261												0.352	0.517						0.848	27	6	6/27_S64GB
S64GD	1	UXTD	27/06/2017 20:49	202.445	17.089			8.312	448.011				0.258												0.341	0.53						0.857	27	6	6/27_S64GD
S64GD	6	UXTD	27/06/2017 21:09			466.364	470.244	9	450.607	0.521	0.592	0.207	0.258	0.527	0.536	0.353	0.222	33.501	36.46		0.427	0.411	0.221	1.06	0.337	0.519	0.301	0.979		13.408	16.068		27	6	6/27_S64GD
S64GD	10	UXTD	27/06/2017 21:24	180.759	18.471			9.66	438.867				0.249												0.346	0.516						0.852	27	6	6/27_S64GD
S64GD	11	UXTD	27/06/2017 21:36	173.129	17.801			9.331	441.793				0.256												0.331	0.51						0.839	27	6	6/27_S64GD
S64GD	12	UXTD	27/06/2017 22:41	169.42	17.792	478.885	476.5	9.553	436.535	0.52	0.59	0.205	0.251	0.523	0.541	0.354	0.225	33.026	35.925	777.726	0.425	0.412	0.22	1.048	0.353	0.523	0.302	0.967	0.788	13.39	16.102	0.841	27	6	6/27_S64GD
S64GD	13	UXTD	27/06/2017 23:45	186.734	19.247	478.535	474.234	9.34	451.782	0.515	0.588	0.207	0.257	0.527	0.54	0.352	0.225	33.566	36.602	785.725	0.422	0.408	0.221	1.061	0.34	0.522	0.304	0.983	0.758	13.379	16.05	0.849	27	6	6/27_S64GD
S64HV	13	UXTD	27/06/2017 05:26	174.694	20.05	476.896	468.7	9.925	425.717	0.503	0.58	0.212	0.249	0.525	0.551	0.349	0.201	32.999	36.076	788.925	0.414	0.419	0.227	1.039	0.313	0.513	0.3	0.965	0.729	13.527	16.2	0.867	27	6	6/27_S64HV
