LOTID5	WAFER_ID	PROCESS_ID_LE821910_PROCESS_ID_MAX	ET_TIME_LE821910_TKOUT_TIME_MAX	D120_M1_1b_lat_100BCR	D120_M1_1b_lat_100IRD_L	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Cov	EGP_2/0.15_Vtsat	EGP_2/2_Vtlin	EGP_Cov	LVTN_0.21/0.03x7_Vtsat	LVTP_0.3/0.03x5_Vtsat	Lpoly_RVTN	Lpoly_RVTP	RVTN_Cov	RVTN_Covdd	RVTP_Cov	RVTP_Covdd	SGN_Tox_inv	SGP_Tox_inv	date	month	date_lot
S642Z	20	UXTD	18/07/2017 06:07			445.863	443.366	10.079	428.24	0.511	0.57		0.267	0.487		0.32	0.228	33.691	35.869	0.23	1.063	0.242	0.966	13.413	16.129	18	7	7/18_S642Z
S642Z	21	UXTD	18/07/2017 06:16			441.043	464.527	12.205	410.108	0.496	0.563		0.273	0.481		0.322	0.213	33.237	35.247	0.231	1.051	0.232	0.946	13.403	16.287	18	7	7/18_S642Z
S642Z	22	UXTD	18/07/2017 06:26			450.747	459.628	10.895	434.652	0.499	0.56		0.277	0.483		0.328	0.24	33.218	35.703	0.219	1.049	0.225	0.955	13.425	16.286	18	7	7/18_S642Z
S642Z	24	UXTD	18/07/2017 06:36			473.66	455.309	10.857	425.765	0.501	0.568		0.276	0.486		0.332	0.228	32.008	34.743	0.217	1.015	0.227	0.937	13.459	16.192	18	7	7/18_S642Z
S6432	1	UXTD	18/07/2017 20:07			463.454	464.613	9.061	456.95	0.517	0.574		0.283	0.482		0.352	0.256	32.928	35.533	0.216	1.04	0.221	0.954	13.461	16.203	18	7	7/18_S6432
S6432	9	UXTD	18/07/2017 20:17			451.758	470.664	9.813	455.409	0.513	0.569		0.272	0.478		0.337	0.243	32.907	35.403	0.217	1.041	0.223	0.952	13.422	16.189	18	7	7/18_S6432
S6432	10	UXTD	18/07/2017 20:25			465.664	468.591	9.077	466.581	0.512	0.567		0.284	0.485		0.346	0.248	33.584	36.255	0.216	1.055	0.225	0.97	13.473	16.184	18	7	7/18_S6432
S6432	11	UXTD	18/07/2017 20:36			461.628	471.08	9.357	448.735	0.5	0.559		0.281	0.483		0.341	0.234	32.538	35.263	0.212	1.032	0.22	0.947	13.436	16.241	18	7	7/18_S6432
S6432	13	UXTD	18/07/2017 21:29	214.539	21.311	470.073	478.115	9.252	448.255	0.529	0.578	0.204	0.283	0.485	0.574	0.349	0.246	33.441	35.8	0.215	1.052	0.221	0.958	13.446	16.245	18	7	7/18_S6432
S6432	14	UXTD	18/07/2017 21:39			457.22	463.284	9.529	456.51	0.51	0.57		0.276	0.483		0.34	0.231	33.04	35.65	0.218	1.042	0.226	0.957	13.47	16.189	18	7	7/18_S6432
S6432	15	UXTD	18/07/2017 21:49			468.7	479.958	9.916	461.132	0.513	0.568		0.274	0.479		0.347	0.235	32.419	34.92	0.216	1.026	0.221	0.941	13.485	16.231	18	7	7/18_S6432
S6432	18	UXTD	18/07/2017 21:58			456.403	457.048	8.744	470.053	0.508	0.564		0.285	0.483		0.349	0.247	33.789	36.313	0.216	1.062	0.224	0.969	13.481	16.25	18	7	7/18_S6432
S6432	19	UXTD	18/07/2017 22:08			477.078	474.505	8.245	476.785	0.515	0.58		0.279	0.479		0.349	0.234	33.274	35.835	0.216	1.045	0.226	0.959	13.498	16.223	18	7	7/18_S6432
S6432	20	UXTD	18/07/2017 22:17			472.285	467.906	9.378	463.956	0.508	0.564		0.282	0.484		0.349	0.255	33.44	36.025	0.215	1.056	0.224	0.968	13.435	16.161	18	7	7/18_S6432
S6432	21	UXTD	18/07/2017 22:27			462.399	484.3	9.208	455.624	0.511	0.565		0.29	0.485		0.356	0.251	33.685	36.058	0.214	1.058	0.219	0.963	13.485	16.272	18	7	7/18_S6432
S6432	22	UXTD	18/07/2017 22:35			472.091	468.826	9.885	448.946	0.508	0.568		0.278	0.482		0.349	0.228	32.935	35.12	0.217	1.036	0.223	0.945	13.527	16.237	18	7	7/18_S6432
S6432	25	UXTD	18/07/2017 22:45			473.716	475.058	10.751	442.335	0.519	0.582		0.282	0.483		0.353	0.249	33.693	36.233	0.216	1.056	0.225	0.966	13.529	16.259	18	7	7/18_S6432
S6441	3	UXTD	18/07/2017 03:17			469.639	482.008	10.708	421.8	0.504	0.565		0.282	0.492		0.357	0.228	32.921	36.262	0.215	1.044	0.234	0.971	13.411	16.183	18	7	7/18_S6441
S6441	6	UXTD	18/07/2017 03:52			480.724	481.559	11.035	424.647	0.513	0.565		0.288	0.495		0.352	0.227	33.061	36.204	0.215	1.046	0.232	0.97	13.422	16.186	18	7	7/18_S6441
S6441	7	UXTD	18/07/2017 04:01			488.559	491.45	10.24	451.059	0.505	0.563		0.29	0.494		0.355	0.238	33.163	36.331	0.213	1.045	0.234	0.972	13.447	16.171	18	7	7/18_S6441
S6441	11	UXTD	18/07/2017 04:11			475.159	467.685	10.783	441.765	0.501	0.567		0.282	0.493		0.346	0.231	33.461	36.578	0.219	1.059	0.236	0.978	13.382	16.177	18	7	7/18_S6441
S6441	12	UXTD	18/07/2017 04:20			477.59	482.902	9.771	438.446	0.497	0.57		0.277	0.484		0.361	0.239	33.886	36.72	0.219	1.068	0.238	0.98	13.363	16.142	18	7	7/18_S6441
S6441	13	UXTD	18/07/2017 05:15	213.513	20.499	474.555	475.121	11.169	420.151	0.504	0.568	0.208	0.287	0.494	0.57	0.346	0.216	33.386	36.32	0.218	1.055	0.235	0.971	13.4	16.209	18	7	7/18_S6441
S6441	14	UXTD	18/07/2017 05:25			478.392	490.742	9.753	441.626	0.503	0.567		0.287	0.489		0.357	0.238	33.455	36.548	0.215	1.055	0.234	0.977	13.438	16.187	18	7	7/18_S6441
S6441	15	UXTD	18/07/2017 05:34			480.605	478.416	10.69	434.333	0.514	0.589		0.276	0.489		0.344	0.218	32.826	35.941	0.216	1.044	0.235	0.965	13.391	16.16	18	7	7/18_S6441
S6441	16	UXTD	18/07/2017 05:44			468.04	478.373	11.158	428.931	0.503	0.571		0.284	0.49		0.337	0.227	32.72	36.061	0.217	1.044	0.235	0.969	13.332	16.134	18	7	7/18_S6441
S6441	20	UXTD	18/07/2017 05:53			481.085	477.946	10.282	442.027	0.5	0.566		0.282	0.494		0.354	0.234	33.633	36.266	0.218	1.06	0.232	0.97	13.445	16.205	18	7	7/18_S6441
S6441	21	UXTD	18/07/2017 06:04			472.084	473.155	10.291	445.3	0.508	0.573		0.282	0.489		0.354	0.242	34.154	36.875	0.22	1.071	0.236	0.981	13.444	16.244	18	7	7/18_S6441
S6441	22	UXTD	18/07/2017 06:12			464.149	472.8	9.938	439.228	0.506	0.564		0.281	0.496		0.348	0.231	33.156	36.193	0.216	1.046	0.235	0.969	13.422	16.165	18	7	7/18_S6441
S6441	24	UXTD	18/07/2017 06:23			469.025	473.677	10.402	438.435	0.504	0.563		0.288	0.494		0.345	0.222	33.154	36.155	0.215	1.048	0.234	0.967	13.412	16.242	18	7	7/18_S6441
S6441	25	UXTD	18/07/2017 06:33			472.449	476.141	9.549	452.457	0.505	0.573		0.284	0.496		0.353	0.226	33.213	36.226	0.215	1.048	0.239	0.971	13.45	16.188	18	7	7/18_S6441
S6474	6	UXTD	18/07/2017 14:29			461.446	457.434	10.223	434.422	0.52	0.579		0.283	0.485		0.348	0.231	33.951	36.41	0.218	1.069	0.239	0.972	13.403	16.259	18	7	7/18_S6474
S6474	7	UXTD	18/07/2017 14:40			466.346	463.437	10.716	433.866	0.52	0.584		0.275	0.485		0.348	0.23	34.07	36.309	0.219	1.072	0.242	0.976	13.399	16.112	18	7	7/18_S6474
S6474	8	UXTD	18/07/2017 14:49			463.736	465.676	10.187	433.41	0.515	0.579		0.273	0.482		0.338	0.221	33.896	36.454	0.221	1.069	0.246	0.977	13.413	16.131	18	7	7/18_S6474
S6474	9	UXTD	18/07/2017 15:00			454.371	462.401	10.514	417.824	0.509	0.579		0.279	0.484		0.342	0.224	34.11	36.57	0.221	1.074	0.24	0.978	13.397	16.162	18	7	7/18_S6474
S6474	10	UXTD	18/07/2017 15:09			457.027	456.35	10.677	428.761	0.512	0.58		0.272	0.486		0.342	0.212	33.902	36.591	0.22	1.068	0.237	0.973	13.43	16.268	18	7	7/18_S6474
S6474	11	UXTD	18/07/2017 15:20			455.161	456.126	10.453	432.552	0.519	0.582		0.27	0.484		0.343	0.211	33.73	36.115	0.219	1.065	0.237	0.967	13.369	16.2	18	7	7/18_S6474
S6474	12	UXTD	18/07/2017 15:29			454.343	455.659	9.543	457.996	0.519	0.579		0.285	0.488		0.345	0.223	33.872	36.444	0.219	1.068	0.238	0.976	13.367	16.153	18	7	7/18_S6474
S6474	13	UXTD	18/07/2017 16:24	209.233	22.702	463.384	460.12	10.136	442.249	0.515	0.582	0.206	0.28	0.487	0.567	0.347	0.233	33.477	35.974	0.217	1.055	0.24	0.966	13.416	16.147	18	7	7/18_S6474
S6474	17	UXTD	18/07/2017 16:35			461.359	458.078	10.315	426.363	0.514	0.581		0.278	0.484		0.343	0.22	33.64	36.105	0.218	1.062	0.237	0.965	13.434	16.258	18	7	7/18_S6474
S6474	18	UXTD	18/07/2017 16:44			465.574	459.485	10.906	438.406	0.526	0.583		0.282	0.488		0.355	0.228	33.847	36.45	0.216	1.067	0.239	0.971	13.404	16.28	18	7	7/18_S6474
S6474	20	UXTD	18/07/2017 16:55			444.383	445.127	10.534	426.596	0.515	0.58		0.278	0.484		0.335	0.207	33.292	36.044	0.219	1.054	0.234	0.96	13.382	16.304	18	7	7/18_S6474
S6474	23	UXTD	18/07/2017 17:04			442.488	459.813	10.188	428.454	0.512	0.584		0.275	0.487		0.341	0.223	33.486	35.9	0.22	1.06	0.243	0.962	13.402	16.208	18	7	7/18_S6474
S6474	24	UXTD	18/07/2017 17:15			459.219	461.091	9.805	437.254	0.522	0.588		0.278	0.49		0.339	0.223	33.544	36.206	0.218	1.06	0.235	0.966	13.417	16.304	18	7	7/18_S6474
S6474	25	UXTD	18/07/2017 17:26			476.772	468.7	10.194	452.232	0.534	0.595		0.28	0.486		0.348	0.236	33.538	36.193	0.217	1.057	0.236	0.97	13.434	16.177	18	7	7/18_S6474
S64GC	2	UXTD	18/07/2017 17:51			457.175	478.09	10.167	437.5	0.517	0.588		0.269	0.49		0.349	0.213	34.437	36.999	0.225	1.081	0.245	0.987	13.441	16.185	18	7	7/18_S64GC
S64GC	4	UXTD	18/07/2017 18:01			458.959	473.426	10.388	445.14	0.514	0.584		0.275	0.489		0.349	0.214	33.924	36.716	0.223	1.066	0.243	0.982	13.467	16.155	18	7	7/18_S64GC
S64GC	5	UXTD	18/07/2017 18:10			451.465	464.333	9.389	468.7	0.505	0.578		0.276	0.487		0.346	0.231	34.525	37.151	0.224	1.084	0.242	0.991	13.427	16.157	18	7	7/18_S64GC
S64GC	6	UXTD	18/07/2017 18:20			469.967	468.689	10.029	448.731	0.511	0.57		0.279	0.49		0.354	0.232	33.842	36.809	0.222	1.065	0.242	0.982	13.454	16.185	18	7	7/18_S64GC
S64GC	7	UXTD	18/07/2017 18:29			461.34	470.409	9.524	459.998	0.501	0.57		0.28	0.493		0.343	0.229	34.208	36.858	0.225	1.075	0.241	0.988	13.408	16.113	18	7	7/18_S64GC
S64GC	12	UXTD	18/07/2017 18:39			456.516	464.51	8.833	463.315	0.512	0.572		0.286	0.498		0.352	0.236	33.931	36.758	0.222	1.068	0.236	0.982	13.426	16.204	18	7	7/18_S64GC
S64GC	13	UXTD	18/07/2017 19:35	206.706	22.752	457.108	460.46	10.181	431.971	0.508	0.566	0.209	0.289	0.498	0.573	0.337	0.227	33.517	36.437	0.222	1.056	0.237	0.979	13.432	16.123	18	7	7/18_S64GC
S64GC	14	UXTD	18/07/2017 19:43			460.9	461.33	9.704	446.638	0.508	0.58		0.28	0.489		0.342	0.224	33.216	36.177	0.221	1.051	0.238	0.973	13.375	16.107	18	7	7/18_S64GC
S64GC	16	UXTD	18/07/2017 19:54			450.057	459.9	9.013	457.925	0.515	0.577		0.281	0.492		0.342	0.225	33.872	36.662	0.223	1.07	0.241	0.982	13.387	16.129	18	7	7/18_S64GC
S64GC	17	UXTD	18/07/2017 20:03			458.33	458.96	9.672	452.472	0.519	0.583		0.279	0.491		0.339	0.227	33.755	36.686	0.221	1.067	0.238	0.982	13.387	16.152	18	7	7/18_S64GC
S64GC	20	UXTD	18/07/2017 20:13			454.292	454.042	10.198	430.764	0.511	0.577		0.287	0.497		0.34	0.221	33.42	36.264	0.221	1.053	0.238	0.972	13.444	16.16	18	7	7/18_S64GC
S64GC	21	UXTD	18/07/2017 20:22			448.853	462.759	9.57	461.149	0.504	0.566		0.285	0.496		0.342	0.233	34.134	36.851	0.224	1.074	0.242	0.986	13.414	16.087	18	7	7/18_S64GC
S64GC	22	UXTD	18/07/2017 20:32			451.968	464.887	8.507	472.479	0.506	0.57		0.289	0.5		0.348	0.234	34.203	36.911	0.223	1.071	0.239	0.984	13.451	16.195	18	7	7/18_S64GC
S64GC	24	UXTD	18/07/2017 20:42			445.062	459.419	10.264	443.243	0.517	0.575		0.285	0.495		0.343	0.246	33.996	36.661	0.223	1.068	0.244	0.984	13.434	16.096	18	7	7/18_S64GC
S6663	13	UXTN	18/07/2017 00:05	243.383	19.277	494.491	496.731	10.473	430.558							0.35	0.23	33.133	36.359	0.214	1.053	0.234	0.976	13.339	16.15	18	7	7/18_S6663
S5ZXP	1	UXTD	19/07/2017 00:47			480.064	481.901	10.667	430.547	0.514	0.564		0.284	0.488		0.351	0.231	31.822	35.047	0.212	1.014	0.221	0.942	13.451	16.253	19	7	7/19_S5ZXP
S5ZXP	3	UXTD	19/07/2017 00:57			459.304	472.189	9.849	423.927	0.513	0.571		0.282	0.479		0.349	0.231	32.439	35.476	0.212	1.033	0.222	0.953	13.367	16.191	19	7	7/19_S5ZXP
S5ZXP	4	UXTD	19/07/2017 01:06			464.936	472.55	10.315	432.677	0.511	0.563		0.284	0.488		0.348	0.25	33.794	36.568	0.218	1.064	0.224	0.974	13.439	16.247	19	7	7/19_S5ZXP
S5ZXP	6	UXTD	19/07/2017 01:16			471.267	470.306	10.148	437.866	0.511	0.57		0.287	0.484		0.343	0.237	32.826	35.934	0.215	1.04	0.226	0.96	13.441	16.256	19	7	7/19_S5ZXP
S5ZXP	7	UXTD	19/07/2017 01:25			466.875	474.598	10.492	425.634	0.52	0.575		0.281	0.489		0.334	0.233	32.513	35.364	0.215	1.028	0.226	0.951	13.428	16.249	19	7	7/19_S5ZXP
S5ZXP	12	UXTD	19/07/2017 01:35			469.132	475.334	10.24	434.447	0.501	0.56		0.283	0.481		0.347	0.25	33.003	35.764	0.215	1.044	0.226	0.96	13.428	16.179	19	7	7/19_S5ZXP
S5ZXP	13	UXTD	19/07/2017 02:29	227.11	20.678	466.502	461.984	10.808	438.312	0.512	0.571	0.205	0.281	0.484	0.577	0.336	0.237	32.398	35.589	0.214	1.031	0.225	0.955	13.399	16.256	19	7	7/19_S5ZXP
S5ZXP	14	UXTD	19/07/2017 02:38			471.966	464.838	9.824	441.687	0.513	0.569		0.277	0.487		0.331	0.222	32.092	35.02	0.215	1.02	0.225	0.945	13.442	16.201	19	7	7/19_S5ZXP
S5ZXP	15	UXTD	19/07/2017 02:49			465.479	469.334	11.356	421.048	0.508	0.562		0.284	0.486		0.334	0.226	32.86	35.934	0.217	1.039	0.227	0.963	13.415	16.206	19	7	7/19_S5ZXP
S5ZXP	18	UXTD	19/07/2017 02:57			458.554	469.292	10.228	435.758	0.506	0.573		0.286	0.485		0.344	0.238	33.074	35.933	0.216	1.044	0.227	0.962	13.457	16.23	19	7	7/19_S5ZXP
S5ZXP	19	UXTD	19/07/2017 03:08			474.527	477.223	10.709	435.773	0.508	0.565		0.284	0.49		0.34	0.233	32.677	35.929	0.214	1.032	0.225	0.962	13.441	16.223	19	7	7/19_S5ZXP
S5ZXP	24	UXTD	19/07/2017 03:17			464.163	463.441	10.552	432.55	0.515	0.57		0.282	0.486		0.338	0.235	33.344	36.179	0.218	1.051	0.225	0.968	13.432	16.244	19	7	7/19_S5ZXP
S5ZXP	25	UXTD	19/07/2017 03:27			455.286	478.694	10.682	433.482	0.517	0.574		0.281	0.488		0.345	0.234	33.433	35.933	0.215	1.054	0.227	0.963	13.442	16.23	19	7	7/19_S5ZXP
S60W8	1	UXTD	19/07/2017 17:27			459.809	468.747	9.495	431.842	0.502	0.574		0.265	0.484		0.315	0.207	33.248	36.128	0.219	1.05	0.242	0.967	13.432	16.222	19	7	7/19_S60W8
S60W8	2	UXTD	19/07/2017 17:37			462.943	472.084	10.178	426.866	0.503	0.567		0.272	0.488		0.327	0.202	32.786	35.824	0.217	1.041	0.238	0.959	13.403	16.248	19	7	7/19_S60W8
S60W8	3	UXTD	19/07/2017 17:46			464.715	471.345	9.773	442.853	0.49	0.556		0.269	0.483		0.336	0.215	33.255	35.942	0.218	1.054	0.237	0.965	13.396	16.188	19	7	7/19_S60W8
S60W8	7	UXTD	19/07/2017 17:56			466.687	474.825	10.47	437.513	0.496	0.562		0.273	0.489		0.323	0.207	33.416	36.411	0.217	1.056	0.234	0.97	13.417	16.278	19	7	7/19_S60W8
S60W8	8	UXTD	19/07/2017 18:05			464.352	476.5	10.738	419.13	0.501	0.572		0.268	0.485		0.328	0.212	33.108	36.011	0.217	1.045	0.24	0.963	13.425	16.239	19	7	7/19_S60W8
S60W8	9	UXTD	19/07/2017 18:15			459.945	459.511	9.902	434.193	0.491	0.558		0.273	0.487		0.323	0.2	32.825	35.628	0.218	1.042	0.24	0.957	13.412	16.208	19	7	7/19_S60W8
S60W8	13	UXTD	19/07/2017 19:09	196.811	20.621	456.32	470.339	10.335	429.178	0.504	0.575	0.207	0.265	0.482	0.579	0.314	0.188	32.949	35.872	0.217	1.044	0.242	0.959	13.375	16.269	19	7	7/19_S60W8
S60W8	17	UXTD	19/07/2017 19:18			474.056	473.391	10.254	424.245	0.492	0.553		0.274	0.487		0.33	0.206	32.845	35.939	0.213	1.039	0.235	0.96	13.415	16.302	19	7	7/19_S60W8
S60W8	18	UXTD	19/07/2017 19:28			459.241	464.598	10.242	439.662	0.51	0.563		0.275	0.486		0.329	0.221	33.064	35.744	0.215	1.047	0.232	0.958	13.416	16.246	19	7	7/19_S60W8
S60W8	19	UXTD	19/07/2017 19:37			463.988	463.219	9.99	445.3	0.507	0.574		0.267	0.486		0.327	0.204	32.831	35.868	0.219	1.039	0.241	0.961	13.4	16.217	19	7	7/19_S60W8
S60W8	20	UXTD	19/07/2017 19:47			458.979	464.383	9.266	438.902	0.494	0.563		0.269	0.49		0.319	0.209	32.796	35.628	0.217	1.038	0.239	0.957	13.404	16.214	19	7	7/19_S60W8
S60W8	21	UXTD	19/07/2017 19:56			466.158	463.056	10.681	446.577	0.497	0.556		0.279	0.488		0.328	0.211	33.529	36.141	0.217	1.058	0.241	0.969	13.419	16.208	19	7	7/19_S60W8
S60W8	22	UXTD	19/07/2017 20:06			468.032	485.554	10.461	426.508	0.504	0.57		0.275	0.488		0.326	0.223	33.616	36.521	0.218	1.063	0.242	0.976	13.393	16.194	19	7	7/19_S60W8
S60W8	23	UXTD	19/07/2017 20:16			465.713	469.893	9.985	427.552	0.487	0.553		0.274	0.487		0.323	0.206	33.168	36.041	0.216	1.051	0.235	0.962	13.418	16.253	19	7	7/19_S60W8
S6125	1	UXTD	19/07/2017 16:11			457.825	465.0555	10.456	426.216	0.505	0.561		0.269	0.479		0.328	0.216	32.678	35.197	0.219	1.039	0.236	0.953	13.373	16.096	19	7	7/19_S6125
S6125	2	UXTD	19/07/2017 16:13			456.272	463.8625	10.383	414.568	0.507	0.566		0.269	0.483		0.327	0.214	32.863	35.324	0.221	1.044	0.235	0.953	13.356	16.108	19	7	7/19_S6125
S6125	3	UXTD	19/07/2017 16:16				451.858																			19	7	7/19_S6125
S6125	4	UXTD	19/07/2017 16:18				457.606																			19	7	7/19_S6125
S6125	5	UXTD	19/07/2017 16:21				463.911																			19	7	7/19_S6125
S6125	6	UXTD	19/07/2017 16:23				458.714																			19	7	7/19_S6125
S6125	7	UXTD	19/07/2017 16:26			454.351	453.8745	10.725	439.579	0.497	0.559		0.275	0.488		0.317	0.205	32.48	35.088	0.218	1.03	0.236	0.946	13.405	16.195	19	7	7/19_S6125
S6125	8	UXTD	19/07/2017 16:28			457.466	464.333	10.459	428.388	0.501	0.556		0.274	0.483		0.331	0.212	32.19	34.901	0.216	1.024	0.233	0.944	13.413	16.151	19	7	7/19_S6125
S6125	9	UXTD	19/07/2017 00:15			403.535	400.77	10.291	432.887	0.498	0.552		0.252	0.462		0.272	0.191	32.161	35.391	0.22	1.049	0.24	0.965	12.994	15.909	19	7	7/19_S6125
S6125	10	UXTD	19/07/2017 16:31			454.91	452.7505	10.093	421.081	0.503	0.559		0.269	0.483		0.321	0.209	32.19	35.367	0.217	1.024	0.236	0.952	13.375	16.181	19	7	7/19_S6125
S6125	11	UXTD	19/07/2017 16:33			465.591	449.352	10.1	422.52	0.502	0.563		0.268	0.483		0.325	0.218	32.619	35.249	0.219	1.034	0.234	0.944	13.401	16.268	19	7	7/19_S6125
S6125	12	UXTD	19/07/2017 16:36			453.449	446.5405	9.933	448.269	0.498	0.555		0.264	0.481		0.321	0.217	31.921	34.749	0.216	1.02	0.237	0.941	13.359	16.119	19	7	7/19_S6125
S6125	13	UXTD	19/07/2017 16:39	197.728	21.925	456.036	457.8745	9.433	447.711	0.499	0.556	0.208	0.27	0.484	0.568	0.325	0.207	32.799	35.368	0.219	1.038	0.237	0.951	13.424	16.174	19	7	7/19_S6125
S6125	14	UXTD	19/07/2017 16:41			460.9	455.1155	10.813	434.924	0.495	0.562		0.266	0.485		0.327	0.213	32.548	35.187	0.218	1.036	0.239	0.95	13.381	16.172	19	7	7/19_S6125
S6125	15	UXTD	19/07/2017 16:44				454.617																			19	7	7/19_S6125
S6125	16	UXTD	19/07/2017 16:46				452.611																			19	7	7/19_S6125
S6125	17	UXTD	19/07/2017 16:49			457.301	457.129	9.377	439.295	0.502	0.562		0.271	0.485		0.321	0.221	32.847	35.452	0.22	1.039	0.238	0.954	13.399	16.184	19	7	7/19_S6125
S6125	18	UXTD	19/07/2017 16:51			447.744	452.1675	10.043	428.018	0.499	0.56		0.269	0.489		0.321	0.212	31.81	34.895	0.215	1.013	0.239	0.941	13.413	16.166	19	7	7/19_S6125
S6125	19	UXTD	19/07/2017 16:54			450.425	460.442	10.269	439.932	0.498	0.557		0.267	0.481		0.324	0.205	32.456	35.325	0.218	1.032	0.237	0.955	13.374	16.119	19	7	7/19_S6125
S6125	20	UXTD	19/07/2017 16:56				464.871																			19	7	7/19_S6125
S6125	21	UXTD	19/07/2017 16:58				452.925																			19	7	7/19_S6125
S6125	22	UXTD	19/07/2017 17:01			460.314	462.016	10.011	447.682	0.502	0.563		0.274	0.484		0.329	0.219	32.264	35.15	0.215	1.024	0.233	0.945	13.43	16.222	19	7	7/19_S6125
S6125	23	UXTD	19/07/2017 17:03				459.401																			19	7	7/19_S6125
S6125	24	UXTD	19/07/2017 17:06				465.15																			19	7	7/19_S6125
S6125	25	UXTD	19/07/2017 17:10				460.559																			19	7	7/19_S6125
S61DD	1	UXTD	19/07/2017 17:34			454.023	466.502	10.319	430.642	0.518	0.57		0.286	0.492		0.34	0.253	32.93	35.647	0.216	1.042	0.238	0.96	13.459	16.16	19	7	7/19_S61DD
S61DD	2	UXTD	19/07/2017 17:45			464.098	469.145	9.513	442.4	0.505	0.559		0.284	0.483		0.349	0.249	33.065	35.904	0.217	1.048	0.24	0.961	13.399	16.208	19	7	7/19_S61DD
S61DD	3	UXTD	19/07/2017 17:53			466.952	463.781	9.662	445.818	0.521	0.575		0.28	0.488		0.354	0.251	33.217	35.929	0.218	1.049	0.248	0.967	13.412	16.147	19	7	7/19_S61DD
S61DD	4	UXTD	19/07/2017 18:04			470.695	470.853	10.146	443.884	0.514	0.567		0.282	0.486		0.355	0.251	32.907	35.874	0.215	1.044	0.239	0.963	13.392	16.16	19	7	7/19_S61DD
S61DD	6	UXTD	19/07/2017 18:12			463.181	457.602	9.715	451.785	0.502	0.566		0.274	0.479		0.342	0.238	33.007	35.756	0.221	1.049	0.244	0.965	13.379	16.087	19	7	7/19_S61DD
S61DD	11	UXTD	19/07/2017 18:23			464.865	472.426	9.908	448.578	0.507	0.566		0.275	0.484		0.346	0.246	33.325	35.981	0.221	1.055	0.246	0.965	13.401	16.183	19	7	7/19_S61DD
S61DD	13	UXTD	19/07/2017 19:18	185.144	21.428	454.852	467.401	9.764	440.837	0.507	0.562	0.208	0.281	0.493	0.574	0.338	0.242	33.33	35.965	0.219	1.056	0.25	0.967	13.408	16.146	19	7	7/19_S61DD
S61DD	14	UXTD	19/07/2017 19:27			459.214	466.032	10.599	444.86	0.509	0.568		0.278	0.492		0.339	0.221	33.107	35.818	0.222	1.048	0.249	0.961	13.401	16.171	19	7	7/19_S61DD
S61DD	17	UXTD	19/07/2017 19:37			451.385	469.133	10.279	427.58	0.51	0.577		0.275	0.491		0.333	0.24	33.135	36.121	0.22	1.052	0.252	0.971	13.386	16.135	19	7	7/19_S61DD
S61DD	18	UXTD	19/07/2017 19:46			452.006	447.077	9.834	440.594	0.512	0.574		0.274	0.487		0.331	0.239	33.162	35.543	0.219	1.049	0.25	0.959	13.396	16.126	19	7	7/19_S61DD
S61DD	21	UXTD	19/07/2017 19:56			443.538	454.101	10.216	443.359	0.513	0.576		0.278	0.49		0.326	0.23	33.472	36.425	0.223	1.06	0.247	0.977	13.39	16.147	19	7	7/19_S61DD
S61DD	24	UXTD	19/07/2017 20:04			464.27	472.687	10.385	444.524	0.498	0.562		0.281	0.492		0.328	0.226	32.781	35.621	0.219	1.039	0.237	0.956	13.417	16.224	19	7	7/19_S61DD
S62RG	1	UXTD	19/07/2017 09:54			488.195	500.99	8.561	463.822	0.525	0.58		0.267	0.478		0.368	0.243	31.121	34.387	0.207	0.995	0.228	0.929	13.445	16.211	19	7	7/19_S62RG
S62RG	3	UXTD	19/07/2017 10:04			477.652	474.518	10.531	446.035	0.506	0.569		0.264	0.472		0.343	0.233	32.644	34.908	0.22	1.029	0.229	0.936	13.474	16.313	19	7	7/19_S62RG
S62RG	5	UXTD	19/07/2017 10:13			489.127	488.632	10.039	436.793	0.514	0.577		0.273	0.475		0.358	0.233	32.499	35.044	0.211	1.029	0.232	0.944	13.461	16.201	19	7	7/19_S62RG
S62RG	9	UXTD	19/07/2017 10:23			472.696	474.568	8.91	464.437	0.519	0.58		0.27	0.481		0.358	0.23	32.979	35.574	0.213	1.041	0.245	0.959	13.445	16.143	19	7	7/19_S62RG
S62RG	10	UXTD	19/07/2017 10:32			460.084	467.441	9.517	438.852	0.516	0.574		0.273	0.475		0.339	0.237	33.33	35.869	0.214	1.054	0.235	0.963	13.412	16.173	19	7	7/19_S62RG
S62RG	12	UXTD	19/07/2017 10:42			480.439	476.971	9.006	452.717	0.526	0.58		0.272	0.48		0.352	0.26	33.001	35.629	0.211	1.044	0.242	0.96	13.425	16.133	19	7	7/19_S62RG
S62RG	13	UXTD	19/07/2017 11:36	206.01	18.731	488.329	471.438	8.661	437.958	0.514	0.579	0.205	0.261	0.477	0.568	0.36	0.233	32.957	35.299	0.213	1.039	0.246	0.952	13.458	16.153	19	7	7/19_S62RG
S62RG	14	UXTD	19/07/2017 11:45			474.668	471.867	10.227	450.339	0.52	0.58		0.273	0.479		0.349	0.238	33.616	36.167	0.214	1.058	0.232	0.964	13.477	16.275	19	7	7/19_S62RG
