LOTID5	PROCESS_ID_LX562150_PROCESS_ID_MAX	ET_TIME_LX562150_TKOUT_TIME_MAX	WAFER_ID	D120_M1_4b_ult_PD_Idsat	D120_M1_4b_ult_PD_Vtsat	D120_M1_4b_ult_PG_Idsat	D120_M1_4b_ult_PG_Vtsat	D120_M1_4b_ult_PU_Idsat	D120_M1_4b_ult_PU_Vtsat	EGN_2/0.15_Vtsat	EGN_2/2_Vtlin	EGN_Tox_inv	EGP_2/0.45_Vtsat	EGP_2/2_Vtlin	EGP_Tox_inv	HVN_AS_10/2.6x1_Vtsat	HVP_S_10/2x1_Vtsat	HVTN_0.21/0.03x7_Vtsat	HVTN_1/1_Vtlin	HVTN_Cov	HVTN_Covdd	HVTP_0.3/0.03x5_Vtsat	HVTP_1/1_Vtlin	HVTP_Cov	HVTP_Covdd	Leff_N	Leff_P	SGN_Tox_inv	SGP_Tox_inv	UMVN_10/10x1_Vtlin	UMVP_10/10x1_Vtlin	date	month	date_lot
S609Y	UXU3	29/06/2017 19:16	7							0.521	0.551	36.135		0.54	40.699			0.485	0.424	0.214		0.389	0.513	0.281				13.326	16.248	0.897	0.869	29	6	6/29_S609Y
S609Y	UXU3	29/06/2017 20:46	13							0.523	0.546	36.094	0.474	0.544	40.688	0.88	1.066	0.483	0.414	0.211	1.053	0.392	0.52	0.281	0.957	24.442	18.502	13.309	16.174	0.898	0.874	29	6	6/29_S609Y
S60NX	UXU3	29/06/2017 19:14	13							0.506	0.541	35.528	0.489	0.561	39.986	0.862	1.088	0.477	0.431	0.214	1.041	0.373	0.544	0.287	0.96	23.964	18.13	13.45	16.294	0.905	0.901	29	6	6/29_S60NX
S60NX	UXU3	29/06/2017 19:40	22							0.528	0.557	36.401		0.565	40.949			0.481	0.437	0.215		0.374	0.545	0.286				13.451	16.291	0.911	0.907	29	6	6/29_S60NX
S60NY	UXU3	29/06/2017 13:30	1							0.524	0.557	36.359		0.541	40.629			0.481	0.419	0.212		0.389	0.523	0.282				13.495	16.266	0.902	0.886	29	6	6/29_S60NY
S60NY	UXU3	29/06/2017 14:55	13							0.521	0.556	36.421	0.476	0.545	40.729	0.865	1.067	0.483	0.423	0.216	1.064	0.388	0.528	0.292	0.978	24.817	18.705	13.369	16.131	0.902	0.887	29	6	6/29_S60NY
S61K5	UXU6	29/06/2017 21:51	4							0.508	0.548	35.764		0.525	40.224			0.489	0.425	0.211		0.378	0.522	0.267				13.473	16.426	0.903	0.884	29	6	6/29_S61K5
S61K5	UXU6	29/06/2017 23:15	13							0.509	0.55	36.022	0.457	0.529	40.304	0.871	1.097	0.483	0.424	0.209	1.053	0.407	0.521	0.276	0.97	24.791	19.78	13.486	16.312	0.892	0.89	29	6	6/29_S61K5
S61X5	UXU6	30/06/2017 13:08	1							0.527		35.53			39.998			0.495		0.21	1.072	0.401		0.282	0.976			13.343				30	6	6/30_S61X5
S61X5	UXU6	30/06/2017 13:32	2							0.538		35.902			40.18			0.497		0.213	1.095	0.394		0.286	1.001			13.35				30	6	6/30_S61X5
